config,hypo,universe,action_scale,l2,K,cvar_weight,cvar_alpha,residual_l2,vol_floor,features,stress_power,ensemble,val_cvar,val_dv,val_excess,test_cvar,test_dv,test_excess,test_seed_std
baseline,baseline,spy,1.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,3.7443405066691064,3.6633713267991195,0.08096917986998697,2.3860660028237155,2.8449349042314798,-0.45886890140776426,0.10698544606196296
baseline,baseline,qqq,1.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,2.400944131650322,3.045025529805969,-0.644081398155647,8.73713642790538,6.120349611883338,2.616786816022042,0.364117307180281
baseline,baseline,slv,1.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,0.023112754551825234,0.006563300201661867,0.01654945435016337,0.16903974387658285,0.15494845435326088,0.014091289523321976,0.023009230740630025
baseline,baseline,spx,1.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,45.648758972302396,44.57158548167959,1.0771734906228048,23.822064303488688,28.96614434411867,-5.144080040629984,0.5310829676891353
H1_as0.5_vfNone,H1,spy,0.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,3.6135793597953096,3.6633713267991195,-0.049791967003809834,2.8077584516411727,2.8449349042314798,-0.03717645259030711,0.0556180589740178
H1_as0.5_vfNone,H1,qqq,0.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,2.104768158266118,3.045025529805969,-0.9402573715398512,8.517946385424816,6.120349611883338,2.397596773541478,0.02376184730518672
H1_as0.5_vfNone,H1,slv,0.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,0.005741425221791558,0.006563300201661867,-0.0008218749798703092,0.17211408355892188,0.15494845435326088,0.017165629205661004,0.022188959099157003
H1_as0.5_vfNone,H1,spx,0.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,44.85659242656853,44.57158548167959,0.2850069448889414,26.032945505646705,28.96614434411867,-2.9331988384719665,1.7891501158204777
H1_as0.5_vf0.5,H1,spy,0.5,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,3.0956040221659737,3.6633713267991195,-0.5677673046331457,2.274518038888866,2.8449349042314798,-0.5704168653426138,0.010029209631885024
H1_as0.5_vf0.5,H1,qqq,0.5,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,1.9477600145202194,3.045025529805969,-1.0972655152857498,7.635782172402684,6.120349611883338,1.5154325605193462,0.06511456399069926
H1_as0.5_vf0.5,H1,slv,0.5,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,-0.0022297526815582033,0.006563300201661867,-0.00879305288322007,0.16305699000496154,0.15494845435326088,0.008108535651700666,0.004145736317590393
H1_as0.5_vf0.5,H1,spx,0.5,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,42.974005664356184,44.57158548167959,-1.5975798173234068,23.963930897785577,28.96614434411867,-5.002213446333094,1.2956031862072992
H1_as0.5_vf0.25,H1,spy,0.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,2.9358797245781454,3.6633713267991195,-0.7274916022209741,2.221717114620693,2.8449349042314798,-0.6232177896107869,0.007439117613724202
H1_as0.5_vf0.25,H1,qqq,0.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,1.8273783533743682,3.045025529805969,-1.217647176431601,8.223668682984101,6.120349611883338,2.1033190711007634,0.5349869415283887
H1_as0.5_vf0.25,H1,slv,0.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,-0.010420720671147382,0.006563300201661867,-0.01698402087280925,0.16695094256012247,0.15494845435326088,0.012002488206861589,0.008646396580632779
H1_as0.5_vf0.25,H1,spx,0.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,41.21879754888587,44.57158548167959,-3.3527879327937242,23.4375579614144,28.96614434411867,-5.5285863827042725,0.8097631529357856
H1_as0.5_vf0.1,H1,spy,0.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,3.024679358948679,3.6633713267991195,-0.6386919678504404,2.221711118509752,2.8449349042314798,-0.623223785721728,0.007457665807544116
H1_as0.5_vf0.1,H1,qqq,0.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,1.7486587592785572,3.045025529805969,-1.296366770527412,7.966547988990023,6.120349611883338,1.8461983771066848,0.20340399532795578
H1_as0.5_vf0.1,H1,slv,0.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,-0.010205220506269421,0.006563300201661867,-0.01676852070793129,0.166853491661486,0.15494845435326088,0.01190503730822512,0.009043176651041297
H1_as0.5_vf0.1,H1,spx,0.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,42.3269600576836,44.57158548167959,-2.2446254239959913,23.909163492468792,28.96614434411867,-5.056980851649879,1.0925178699569946
H1_as1.0_vfNone,H1,spy,1.0,0.001,8,1.0,0.95,0.0,,full,0.0,False,3.765138703901363,3.6633713267991195,0.10176737710224337,3.5619684481211915,2.8449349042314798,0.7170335438897117,0.22168825007345797
H1_as1.0_vfNone,H1,qqq,1.0,0.001,8,1.0,0.95,0.0,,full,0.0,False,2.243339881596748,3.045025529805969,-0.8016856482092214,8.427642276605866,6.120349611883338,2.307292664722528,0.2659734099134478
H1_as1.0_vfNone,H1,slv,1.0,0.001,8,1.0,0.95,0.0,,full,0.0,False,0.014227244850799242,0.006563300201661867,0.007663944649137375,0.16425805361983456,0.15494845435326088,0.009309599266573682,0.014532312336705155
H1_as1.0_vfNone,H1,spx,1.0,0.001,8,1.0,0.95,0.0,,full,0.0,False,46.64635428820494,44.57158548167959,2.0747688065253485,31.738138981229365,28.96614434411867,2.7719946371106943,6.400875613914841
H1_as1.0_vf0.5,H1,spy,1.0,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,3.05471848116513,3.6633713267991195,-0.6086528456339897,2.490069868506368,2.8449349042314798,-0.35486503572511197,0.09357978368327065
H1_as1.0_vf0.5,H1,qqq,1.0,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,1.9513814786381796,3.045025529805969,-1.0936440511677896,7.659195756375151,6.120349611883338,1.5388461444918136,0.09081409409795715
H1_as1.0_vf0.5,H1,slv,1.0,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,-0.003591692208510626,0.006563300201661867,-0.010154992410172493,0.17822897696316486,0.15494845435326088,0.023280522609903986,0.003616183691391936
H1_as1.0_vf0.5,H1,spx,1.0,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,43.036140307936456,44.57158548167959,-1.5354451737431347,26.53032054271559,28.96614434411867,-2.4358238014030817,3.3917350718943196
H1_as1.0_vf0.25,H1,spy,1.0,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,2.860962280163747,3.6633713267991195,-0.8024090466353724,2.377946529196158,2.8449349042314798,-0.46698837503532165,0.0724856411228763
H1_as1.0_vf0.25,H1,qqq,1.0,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,1.776063763831168,3.045025529805969,-1.2689617659748011,7.944601217553665,6.120349611883338,1.8242516056703275,0.5327806210824949
H1_as1.0_vf0.25,H1,slv,1.0,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,-0.004150833403417309,0.006563300201661867,-0.010714133605079175,0.16958541023153026,0.15494845435326088,0.014636955878269381,0.0076740308393334865
H1_as1.0_vf0.25,H1,spx,1.0,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,41.567803370444175,44.57158548167959,-3.0037821112354166,23.36658960971341,28.96614434411867,-5.59955473440526,0.7629055434300639
H1_as1.0_vf0.1,H1,spy,1.0,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,2.97545680772252,3.6633713267991195,-0.6879145190765996,2.377940177501054,2.8449349042314798,-0.46699472673042575,0.07255259199536537
H1_as1.0_vf0.1,H1,qqq,1.0,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,1.7722089080027696,3.045025529805969,-1.2728166218031995,7.8304800416015725,6.120349611883338,1.7101304297182347,0.37678738265009815
H1_as1.0_vf0.1,H1,slv,1.0,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,-0.004315851618309449,0.006563300201661867,-0.010879151819971317,0.17062463204085265,0.15494845435326088,0.015676177687591775,0.004758590957263962
H1_as1.0_vf0.1,H1,spx,1.0,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,42.31413361731041,44.57158548167959,-2.2574518643691803,24.117218260461613,28.96614434411867,-4.848926083657059,0.17941795431187715
H1_as1.5_vfNone,H1,spy,1.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,3.7443405066691064,3.6633713267991195,0.08096917986998697,2.3860660028237155,2.8449349042314798,-0.45886890140776426,0.10698544606196296
H1_as1.5_vfNone,H1,qqq,1.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,2.400944131650322,3.045025529805969,-0.644081398155647,8.73713642790538,6.120349611883338,2.616786816022042,0.364117307180281
H1_as1.5_vfNone,H1,slv,1.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,0.023112754551825234,0.006563300201661867,0.01654945435016337,0.16903974387658285,0.15494845435326088,0.014091289523321976,0.023009230740630025
H1_as1.5_vfNone,H1,spx,1.5,0.001,8,1.0,0.95,0.0,,full,0.0,False,45.648758972302396,44.57158548167959,1.0771734906228048,23.822064303488688,28.96614434411867,-5.144080040629984,0.5310829676891353
H1_as1.5_vf0.5,H1,spy,1.5,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,3.1193609317757733,3.6633713267991195,-0.5440103950233461,2.5352803711135254,2.8449349042314798,-0.3096545331179543,0.2641128217664579
H1_as1.5_vf0.5,H1,qqq,1.5,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,1.9899656754889528,3.045025529805969,-1.0550598543170164,7.909364596066363,6.120349611883338,1.7890149841830256,0.3589671543516816
H1_as1.5_vf0.5,H1,slv,1.5,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,0.0035357261061954863,0.006563300201661867,-0.003027574095466381,0.17531485602265215,0.15494845435326088,0.02036640166939127,0.007270244728651747
H1_as1.5_vf0.5,H1,spx,1.5,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,42.86204264620816,44.57158548167959,-1.7095428354714315,23.992002766032638,28.96614434411867,-4.974141578086034,0.5349435275386909
H1_as1.5_vf0.25,H1,spy,1.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,2.798529181939886,3.6633713267991195,-0.8648421448592334,2.642238340921075,2.8449349042314798,-0.20269656331040498,0.1446645241935094
H1_as1.5_vf0.25,H1,qqq,1.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,1.7983566430089217,3.045025529805969,-1.2466688867970475,8.374147773338253,6.120349611883338,2.253798161454915,0.1114879750587525
H1_as1.5_vf0.25,H1,slv,1.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,-0.006467822899752251,0.006563300201661867,-0.013031123101414119,0.17319336791489956,0.15494845435326088,0.01824491356163868,0.001762093023834971
H1_as1.5_vf0.25,H1,spx,1.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,40.07633503750137,44.57158548167959,-4.495250444178218,23.977804049231363,28.96614434411867,-4.988340294887308,0.8522745510914855
H1_as1.5_vf0.1,H1,spy,1.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,2.9453389927529265,3.6633713267991195,-0.7180323340461929,2.642220514028084,2.8449349042314798,-0.20271439020339566,0.14478225501033928
H1_as1.5_vf0.1,H1,qqq,1.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,1.8066321574709967,3.045025529805969,-1.2383933723349725,8.159857835106495,6.120349611883338,2.039508223223157,0.24359127191697785
H1_as1.5_vf0.1,H1,slv,1.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,-0.006291413451717854,0.006563300201661867,-0.012854713653379722,0.17362683465309867,0.15494845435326088,0.018678380299837788,0.0017672573723465665
H1_as1.5_vf0.1,H1,spx,1.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,41.90792646554383,44.57158548167959,-2.6636590161357603,24.765767340377195,28.96614434411867,-4.200377003741476,0.6353688176500475
H1_l20.01,H1,spy,1.5,0.01,8,1.0,0.95,0.0,,full,0.0,False,3.744318004121738,3.6633713267991195,0.0809466773226184,2.3860049262147305,2.8449349042314798,-0.4589299780167493,0.1069753201893546
H1_l20.01,H1,qqq,1.5,0.01,8,1.0,0.95,0.0,,full,0.0,False,2.3785313921696556,3.045025529805969,-0.6664941376363136,8.731406494701924,6.120349611883338,2.611056882818586,0.29132805042062554
H1_l20.01,H1,slv,1.5,0.01,8,1.0,0.95,0.0,,full,0.0,False,0.021610137101872106,0.006563300201661867,0.015046836900210239,0.1687607409224979,0.15494845435326088,0.013812286569237026,0.022904090493236648
H1_l20.01,H1,spx,1.5,0.01,8,1.0,0.95,0.0,,full,0.0,False,45.648620577008735,44.57158548167959,1.077035095329144,23.8220176988674,28.96614434411867,-5.144126645251273,0.5310896143611213
H1_l20.03,H1,spy,1.5,0.03,8,1.0,0.95,0.0,,full,0.0,False,3.7442680241795956,3.6633713267991195,0.08089669738047611,2.3858692885910115,2.8449349042314798,-0.4590656156404682,0.10695282698770213
H1_l20.03,H1,qqq,1.5,0.03,8,1.0,0.95,0.0,,full,0.0,False,2.3668840556957713,3.045025529805969,-0.6781414741101979,8.65746012407181,6.120349611883338,2.5371105121884714,0.1496667260210846
H1_l20.03,H1,slv,1.5,0.03,8,1.0,0.95,0.0,,full,0.0,False,0.01891733011376616,0.006563300201661867,0.012354029912104292,0.16799145063749876,0.15494845435326088,0.013042996284237884,0.02263375690337204
H1_l20.03,H1,spx,1.5,0.03,8,1.0,0.95,0.0,,full,0.0,False,45.64831195335589,44.57158548167959,1.0767264716763023,23.82191385741665,28.96614434411867,-5.144230486702021,0.5311045986968109
H1_l20.1,H1,spy,1.5,0.1,8,1.0,0.95,0.0,,full,0.0,False,3.7440933649891157,3.6633713267991195,0.08072203818999624,2.385395487064684,2.8449349042314798,-0.4595394171667957,0.10687417213834569
H1_l20.1,H1,qqq,1.5,0.1,8,1.0,0.95,0.0,,full,0.0,False,2.3567896205182577,3.045025529805969,-0.6882359092877115,8.714257110603915,6.120349611883338,2.5939074987205775,0.20102338777030115
H1_l20.1,H1,slv,1.5,0.1,8,1.0,0.95,0.0,,full,0.0,False,0.019481237792734914,0.006563300201661867,0.012917937591073047,0.170359300229353,0.15494845435326088,0.015410845876092122,0.019478010664785224
H1_l20.1,H1,spx,1.5,0.1,8,1.0,0.95,0.0,,full,0.0,False,45.64722002109596,44.57158548167959,1.0756345394163702,23.821547496181413,28.96614434411867,-5.144596847937258,0.5311593217881893
H2_cw1.0_a0.975,H2,spy,1.5,0.001,8,1.0,0.975,0.0,,full,0.0,False,3.6879070516104555,3.6633713267991195,0.024535724811336035,2.3823725983652912,2.8449349042314798,-0.4625623058661885,0.1061723246265686
H2_cw1.0_a0.975,H2,qqq,1.5,0.001,8,1.0,0.975,0.0,,full,0.0,False,1.8426493960187802,3.045025529805969,-1.202376133787189,7.983526093533332,6.120349611883338,1.8631764816499938,0.617735587999318
H2_cw1.0_a0.975,H2,slv,1.5,0.001,8,1.0,0.975,0.0,,full,0.0,False,0.014484894289870473,0.006563300201661867,0.007921594088208606,0.19018460659706413,0.15494845435326088,0.03523615224380325,0.009317636687788448
H2_cw1.0_a0.975,H2,spx,1.5,0.001,8,1.0,0.975,0.0,,full,0.0,False,44.895631552232,44.57158548167959,0.32404607055240575,24.008272669780997,28.96614434411867,-4.9578716743376745,0.4128954340305493
H2_cw1.0_a0.99,H2,spy,1.5,0.001,8,1.0,0.99,0.0,,full,0.0,False,3.6551157607955953,3.6633713267991195,-0.008255566003524173,2.3809068787117558,2.8449349042314798,-0.464028025519724,0.10602919232202263
H2_cw1.0_a0.99,H2,qqq,1.5,0.001,8,1.0,0.99,0.0,,full,0.0,False,1.7630461909987354,3.045025529805969,-1.2819793388072338,8.633718688026368,6.120349611883338,2.5133690761430305,0.5128881841698723
H2_cw1.0_a0.99,H2,slv,1.5,0.001,8,1.0,0.99,0.0,,full,0.0,False,0.05640887014121556,0.006563300201661867,0.04984556993955369,0.23372258970279,0.15494845435326088,0.07877413534952912,0.030408516285722637
H2_cw1.0_a0.99,H2,spx,1.5,0.001,8,1.0,0.99,0.0,,full,0.0,False,44.90238791830897,44.57158548167959,0.3308024366293765,24.25677649825573,28.96614434411867,-4.709367845862943,0.47352304459726163
H2_cw3.0_a0.95,H2,spy,1.5,0.001,8,3.0,0.95,0.0,,full,0.0,False,3.669450518228082,3.6633713267991195,0.006079191428962627,2.377298780853996,2.8449349042314798,-0.46763612337748395,0.10572574892054722
H2_cw3.0_a0.95,H2,qqq,1.5,0.001,8,3.0,0.95,0.0,,full,0.0,False,1.7390404164636248,3.045025529805969,-1.3059851133423444,6.904697682964366,6.120349611883338,0.7843480710810278,0.21631417732520308
H2_cw3.0_a0.95,H2,slv,1.5,0.001,8,3.0,0.95,0.0,,full,0.0,False,0.01197984967137218,0.006563300201661867,0.005416549469710314,0.1934342843091037,0.15494845435326088,0.03848582995584282,0.022177982497067872
H2_cw3.0_a0.95,H2,spx,1.5,0.001,8,3.0,0.95,0.0,,full,0.0,False,44.70273519720461,44.57158548167959,0.13114971552501942,24.081876867549877,28.96614434411867,-4.884267476568795,0.40636578036292187
H2_cw3.0_a0.975,H2,spy,1.5,0.001,8,3.0,0.975,0.0,,full,0.0,False,3.6515326671634587,3.6633713267991195,-0.011838659635660775,2.378427637377383,2.8449349042314798,-0.4665072668540966,0.10582111986810738
H2_cw3.0_a0.975,H2,qqq,1.5,0.001,8,3.0,0.975,0.0,,full,0.0,False,1.6208299548226748,3.045025529805969,-1.4241955749832944,6.099614088335268,6.120349611883338,-0.020735523548069956,0.13392327149355135
H2_cw3.0_a0.975,H2,slv,1.5,0.001,8,3.0,0.975,0.0,,full,0.0,False,0.0049978257018064125,0.006563300201661867,-0.0015654744998554546,0.19615169251597,0.15494845435326088,0.04120323816270913,0.017508818001519183
H2_cw3.0_a0.975,H2,spx,1.5,0.001,8,3.0,0.975,0.0,,full,0.0,False,44.62397627962525,44.57158548167959,0.05239079794566237,24.582245878470257,28.96614434411867,-4.383898465648414,0.8134858138723837
H2_cw3.0_a0.99,H2,spy,1.5,0.001,8,3.0,0.99,0.0,,full,0.0,False,3.6407848150182307,3.6633713267991195,-0.022586511780888774,2.379449548570717,2.8449349042314798,-0.46548535566076277,0.10591133349062241
H2_cw3.0_a0.99,H2,qqq,1.5,0.001,8,3.0,0.99,0.0,,full,0.0,False,1.9375313464669244,3.045025529805969,-1.1074941833390448,6.587264426348091,6.120349611883338,0.46691481446475347,0.19978276166550019
H2_cw3.0_a0.99,H2,slv,1.5,0.001,8,3.0,0.99,0.0,,full,0.0,False,0.03472924276021869,0.006563300201661867,0.028165942558556818,0.22572557803377183,0.15494845435326088,0.07077712368051095,0.02352587630193034
